2003,26067,72758
75355,33832,416
30456,58025,11108
50345,48499,75382
3725,49456,41389
26766,31067,6012
2577,88080,67312
42607,1258,50954
21976,21736,7222
25164,65502,33712
12595,35660,82974
43469,70108,73370
65571,20640,94235
27571,44492,17285
17505,23661,48581
75251,73385,64610
20729,32875,98422
67144,62810,2279
39058,48758,30953
24372,87714,52165
66505,764,3061
46736,253,98684
31389,68188,93075
26813,303,8432
93049,63204,8385
46412,72383,59661
61525,81350,15992
54513,79619,44514
32860,54353,8397
90865,50759,27655
57328,13464,90952
23863,53473,50677
41870,51538,55556
28056,6722,31040
35652,65647,69754
70235,76117,99626
47461,86503,85514
90036,85160,32183
43402,79341,54752
42452,94354,8197
67383,59744,26147
3541,54676,44343
55712,11899,95855
30094,74600,28785
85713,52460,58857
58702,92323,65076
57458,53584,44367
73647,39973,9194
99117,82430,4567
26233,64688,49812
38633,57392,7973
43744,48548,93721
54566,34283,64748
88259,43383,45477
11375,55413,9054
49695,54237,19017
34664,38594,358
46961,8968,61817
80498,6830,81701
29606,62094,94920
91616,22557,93133
34438,30771,11256
92643,50533,49758
32377,75372,17447
28885,94587,17502
32384,74734,47440
47344,12212,17793
65829,35942,81949
10237,10025,93555
41690,62046,71279
70839,63452,24259
12104,59862,98061
79497,41323,77312
20081,38532,11442
47742,25617,57111
705,41356,32242
77111,7192,31793
35126,90188,76378
43086,10390,8753
47650,40186,51791
78866,6532,68306
94889,61345,86717
67171,52881,52191
74763,26804,28451
80905,27569,31768
8311,67143,41978
76128,12841,92493
92124,57407,97611
47615,25180,55554
60927,95895,33157
23562,40209,86695
77147,6500,7528
95055,62200,32317
42338,34499,53891
92918,48108,16944
908,40318,33627
33362,17817,37964
33069,22935,76096
29694,39086,42383
13678,61719,57177
53754,69459,30351
8146,14086,71696
38854,48631,77659
1727,60358,1379
47420,37641,94775
80330,30754,78099
21255,17670,43369
3163,24182,97095
48223,46807,70659
29857,32075,11385
46871,76905,85730
25913,95921,85250
23750,42502,12240
21677,21359,34811
29371,18911,59509
42064,26144,3644
10202,26348,78302
22249,2860,40655
1572,77120,36082
53086,90934,7208
17720,27837,28087
2232,67846,16963
43372,7210,24665
85504,14054,17128
81336,45425,12001
60023,13519,56230
80369,38279,52315
9127,90740,24860
17449,20692,74766
64652,60561,46330
23240,96247,21417
84930,31692,10839
70760,87421,46383
90606,86123,33011
24374,96702,72007
79252,83338,97972
17510,83516,42862
76647,64403,93534
81919,10925,1451
99370,84698,294
78646,66074,67178
65535,53422,39656
63296,58202,2479
54390,65908,55042
3741,9343,23210
81183,66473,20081
65121,5932,50408
58278,1173,29823
10871,39289,86614
38289,63615,4333
87126,32047,15062
19712,95354,67459
18676,7225,20403
841,21778,55825
10686,42521,67414
99360,2820,91716
29176,85337,56272
58510,32012,87924
22650,40050,55737
19352,67205,23999
19811,78489,61249
52132,5278,6343
70817,13387,12795
34577,97599,10572
72324,55738,71575
84110,81236,79898
35106,94646,31760
90766,99756,93032
7459,70376,49662
9258,50865,22212
28673,3339,82664
11639,98386,62322
46724,34778,25838
33581,57509,74290
34334,29789,87496
56037,79737,63852
85360,64068,44093
99858,2137,34245
35772,80589,96139
36910,62410,93597
19880,85792,82443
11125,78154,9982
20753,17796,8201
85668,52012,71880
25557,8874,55252
17758,15920,65020
38619,29952,29821
8473,33485,62633
56748,48740,91264
56849,55069,70405
59313,13992,87804
13011,9043,35282
39154,53515,80291
99500,47503,67790
51693,65148,5031
75453,53130,37918
17692,72489,79790
3229,50301,33298
19293,39025,66036
74405,55776,62637
6711,48973,4975
32699,6388,18968
69587,92671,25936
91327,87601,65036
87234,18455,750
57479,53175,40848
64377,36211,81318
81526,92592,32829
95864,5301,17547
44747,3119,99821
93617,44283,81249
64977,95721,45896
25146,59793,16106
77191,23617,24782
20939,28053,98836
98074,72653,99181
89642,77037,87113
60418,11350,46891
77619,49211,58627
33684,37089,67584
25660,22374,42369
63728,23321,69445
92726,42276,58094
93110,50683,30139
66565,28583,65287
16165,44812,28857
73892,80518,79193
87018,91832,70512
36724,70073,74031
64391,55396,28867
27433,83305,40954
77774,47710,68404
13199,91873,72708
77655,96196,20165
83431,82845,39762
59746,31523,57377
29159,27649,40722
50218,53863,31053
74639,90032,89807
981,10692,69455
